[u]:300.0;[G]:13.163277835574657;[I]:498.18160990411;[X]:0.811426368805191
[u]:300.0;[G]:12.702078315335509;[I]:498.89709064933635;[X]:0.829753741709099
[u]:300.0;[G]:12.331539549600373;[I]:499.3310516658705;[X]:0.8438016677913279
[u]:300.0;[G]:12.027488620940549;[I]:499.59426232458173;[X]:0.854530372548305
[u]:300.0;[G]:11.773065169156071;[I]:499.7539076590428;[X]:0.8627008565453773
[u]:300.0;[G]:11.556286254019616;[I]:499.8507374493891;[X]:0.8689092051019872
[u]:300.0;[G]:11.36850518552327;[I]:499.90946768615214;[X]:0.8736182774762498
[u]:300.0;[G]:11.20340399453154;[I]:499.94508937560863;[X]:0.8771851214559075
[u]:300.0;[G]:11.056316407586904;[I]:499.96669502254395;[X]:0.8798837728586147
[u]:300.0;[G]:10.923762791264444;[I]:499.9797995099137;[X]:0.8819237326008902
[u]:300.0;[G]:10.803124728567548;[I]:499.98774778333427;[X]:0.8834646747767003
[u]:300.0;[G]:10.692414011761452;[I]:499.9925686548877;[X]:0.8846280045993697
[u]:300.0;[G]:10.59010675077824;[I]:499.9954926613114;[X]:0.8855058548363889
[u]:300.0;[G]:10.495023156028683;[I]:499.9972661608697;[X]:0.8861680383970764
[u]:300.0;[G]:10.406239795523609;[I]:499.99834184273465;[X]:0.8866673920403627
[u]:300.0;[G]:10.323025208866635;[I]:499.99899427677184;[X]:0.8870438661525418
[u]:300.0;[G]:10.244792325104516;[I]:499.9993899980278;[X]:0.8873276445206555
[u]:300.0;[G]:10.171063518775664;[I]:499.99963001509815;[X]:0.8875415180025296
[u]:300.0;[G]:10.101444266668798;[I]:499.99977559281126;[X]:0.8877026868502401
[u]:300.0;[G]:10.035603888305799;[I]:499.99986389015834;[X]:0.8878241269817013
[u]:300.0;[G]:9.973260960819921;[I]:499.9999174452071;[X]:0.8879156243770305
[u]:300.0;[G]:9.914172462629907;[I]:499.9999499279863;[X]:0.8879845574070676
[u]:300.0;[G]:15.320458984588013;[I]:499.9999696297885;[X]:0.8880364880362979
[u]:300.0;[G]:15.001205304355704;[I]:499.99998157953553;[X]:0.8880756082970325
[u]:300.0;[G]:14.69710589911145;[I]:499.99998882742346;[X]:0.8881050772948084
[u]:300.0;[G]:14.407950854902015;[I]:499.9999932234898;[X]:0.8881272754708908
[u]:300.0;[G]:14.132981379043086;[I]:499.99999588983883;[X]:0.8881439963766427
[u]:300.0;[G]:13.871483609808276;[I]:499.9999975070613;[X]:0.8881565912766007
[u]:300.0;[G]:13.622784338562864;[I]:499.99999848795625;[X]:0.8881660781594884
[u]:300.0;[G]:13.386247526574364;[I]:499.999999082899;[X]:0.8881732239032676
[u]:300.0;[G]:13.161271226790575;[I]:499.9999994437501;[X]:0.8881786061968312
[u]:300.0;[G]:12.947285209819123;[I]:499.99999966261737;[X]:0.8881826602004821
[u]:300.0;[G]:12.743748730412406;[I]:499.99999979536705;[X]:0.888185713703282
[u]:300.0;[G]:12.5501486889764;[I]:499.9999998758838;[X]:0.8881880136111693
[u]:300.0;[G]:12.36599790279292;[I]:499.99999992471976;[X]:0.8881897459023654
[u]:300.0;[G]:12.190833630731778;[I]:499.9999999543402;[X]:0.8881910506605012
[u]:300.0;[G]:12.02421619559185;[I]:499.99999997230594;[X]:0.8881920333991801
[u]:300.0;[G]:11.865727739391923;[I]:499.99999998320277;[X]:0.8881927735925925
[u]:300.0;[G]:11.714971019992952;[I]:499.999999989812;[X]:0.8881933311013362
[u]:300.0;[G]:11.571568406537311;[I]:499.9999999938206;[X]:0.8881937510126607
[u]:300.0;[G]:11.435160817651564;[I]:499.9999999962519;[X]:0.8881940672863299
[u]:300.0;[G]:11.30540679282686;[I]:499.9999999977267;[X]:0.8881943055007907
[u]:300.0;[G]:11.181981591310638;[I]:499.9999999986212;[X]:0.8881944849216413
[u]:300.0;[G]:11.064576410965614;[I]:499.99999999916383;[X]:0.8881946200596345
[u]:300.0;[G]:10.952897511922886;[I]:499.9999999994928;[X]:0.888194721844176
[u]:300.0;[G]:10.846665526872988;[I]:499.9999999996924;[X]:0.8881947985072157
[u]:300.0;[G]:10.745614737462203;[I]:499.9999999998134;[X]:0.8881948562489895
[u]:300.0;[G]:10.649492402399634;[I]:499.99999999988694;[X]:0.8881948997394596
[u]:300.0;[G]:10.55805811994883;[I]:499.9999999999314;[X]:0.8881949324959988
[u]:300.0;[G]:10.471083222711359;[I]:499.9999999999583;[X]:0.8881949571678566
[u]:300.0;[G]:10.388350202808914;[I]:499.9999999999746;[X]:0.8881949757504206
