[u]:31.050254243527093;[G]:83.37700483509232;[I]:51.81682602853377;[X]:0.09198841210690083
[u]:31.002660684507976;[G]:82.54437985503058;[I]:51.75948777575395;[X]:0.09198864455215851
[u]:30.94793735707835;[G]:81.77205774080477;[I]:51.68882378798938;[X]:0.09196038002375582
[u]:30.88660812710657;[G]:81.05659148026747;[I]:51.60574529999875;[X]:0.09190503515340807
[u]:30.819174406397757;[G]:80.39469893442032;[I]:51.51113382056478;[X]:0.09182406908504086
[u]:30.746114567960532;[G]:79.78326562939513;[I]:51.40583772032339;[X]:0.09171895910426449
[u]:30.667883792992647;[G]:79.21934411007514;[I]:51.290670061833055;[X]:0.09159118109445066
[u]:30.58491424125321;[G]:78.70015076366629;[I]:51.16640739517198;[X]:0.09144219410425361
[u]:30.497615465061244;[G]:128.74389061218693;[I]:51.03378922902241;[X]:0.09127342838227295
[u]:59.99474097517749;[G]:139.33004251860487;[I]:70.2970422888379;[X]:0.09589222378965243
[u]:41.48299778185762;[G]:134.35686259012644;[I]:69.8411244490704;[X]:0.10293257934477987
[u]:33.86880200562778;[G]:126.68077028138323;[I]:64.57134281130676;[X]:0.1068430843069169
[u]:32.45548335764512;[G]:121.02481341559488;[I]:60.44822889338213;[X]:0.10776199287912502
[u]:33.498004130137716;[G]:117.45946617286909;[I]:58.63110031326548;[X]:0.1072175478246361
[u]:34.6807908451873;[G]:114.97042502513735;[I]:58.30460648274607;[X]:0.1063799944106716
